year,period,TE-TOZagreb,EL-TOZagreb,TE-TOOsijek,general_demand,Industry_HT
2045,6037,13.59666689,10.32004838,3.064142169,337.260718,1382.982589
2045,6038,12.6254764,9.582902065,2.845274871,313.1667336,1399.77054
2045,6039,9.874430679,7.494822306,2.22529975,244.9122438,1385.932125
2045,6040,7.123384958,5.406742547,1.605324629,176.657754,1415.80216
2045,6041,12.72457747,9.658121077,2.867608269,315.5737722,1420.516351
2045,6042,17.31890311,13.14527445,3.902984587,429.601326,1416.563878
2045,6043,25.90105582,19.65924085,5.837056831,642.3961235,1138.427721
2045,6044,25.2509528,19.16580413,5.690549742,626.3334673,1420.03227
2045,6045,19.26128409,14.61956708,4.340719183,477.7814286,1184.646949
2045,6046,17.54881759,13.31978256,3.95479807,435.2256155,1404.780335
2045,6047,12.72457747,9.658121077,2.867608269,315.5737722,1393.923674
2045,6048,5.732005926,4.350667625,1.291763725,142.1332691,1483.895609
2045,6049,4.079000068,3.096014513,0.919242651,101.1742823,947.4939003
2045,6050,2.782758064,2.112149843,0.627121808,69.05683599,1193.070575
2045,6051,2.461670595,1.868440246,0.5547616,61.02550788,1127.996857
2045,6052,1.617329473,1.227574268,0.364481051,40.14877445,942.2301031
2045,6053,3.076097233,2.334798117,0.693228666,76.28581792,1082.711083
2045,6054,4.209813481,3.195303609,0.948722736,104.3915333,977.6893787
2045,6055,14.24676992,10.81348509,3.210649258,353.3155081,978.9326647
2045,6056,29.84924248,22.65596626,6.726819396,740.3610211,1237.225793
2045,6057,26.22214329,19.90295044,5.909417039,650.4274516,1218.989832
2045,6058,19.74886136,14.98964461,4.4505995,489.8244877,1212.387241
2045,6059,19.42380985,14.74292625,4.377345955,481.7931596,1205.300554
2045,6060,16.34771261,12.40812814,3.68411729,405.5152078,1218.453366
2045,6061,13.59666689,10.32004838,3.064142169,337.260718,1219.766479
2045,6062,12.6254764,9.582902065,2.845274871,313.1667336,1200.416209
2045,6063,9.874430679,7.494822306,2.22529975,244.9122438,1182.017144
2045,6064,7.123384958,5.406742547,1.605324629,176.657754,1160.64322
2045,6065,12.72457747,9.658121077,2.867608269,315.5737722,1173.382555
2045,6066,17.31890311,13.14527445,3.902984587,429.601326,1177.858844
2045,6067,25.90105582,19.65924085,5.837056831,642.3961235,941.1132558
2045,6068,25.2509528,19.16580413,5.690549742,626.3334673,1184.365884
2045,6069,19.26128409,14.61956708,4.340719183,477.7814286,942.7077622
2045,6070,17.54881759,13.31978256,3.95479807,435.2256155,1189.723038
